year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2020,12,12,,False,3463,,69,-93,-10.9,0
2021,12,12,,False,3856,132,136,25,3.0,0
2022,12,12,,False,4939,302,332,285,33.6,0
2023,3,3,,False,1303,88,88,64,7.6,
2023,6,3,,False,1299,91,91,67,7.9,
2023,9,3,,False,1306,126,125,88,10.4,
2023,12,3,24/03/28,False,1390,83,81,56,6.6,
2023,12,12,24/03/28,False,5298,388,385,275,32.4,0
2024,3,3,24/05/15,False,1375,126,112,78,9.1,
2024,6,3,24/08/13,False,1444,90,88,76,8.1,
2024,9,3,24/11/13,False,1452,59,59,33,3.4,
2024,12,12,24/03/28,True,5811,419,394,286,28.7,0
