year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2018,12,12,,False,3516,,52,43,16.6,0.0
2019,12,12,,False,5703,,223,3,1.2,0.0
2020,12,12,,False,5687,,158,42,16.3,0.0
2021,12,12,,False,6304,395,408,322,124.1,0.0
2022,12,12,,False,6929,691,698,453,174.3,0.0
2023,3,3,,False,1789,209,209,143,55.3,
2023,6,3,,False,1761,113,107,74,28.5,
2023,9,3,,False,1775,72,60,33,12.7,
2023,12,3,24/02/14,False,1850,86,74,39,14.8,
2023,12,12,23/12/20,True,7203,483,467,311,,0.0
2023,12,12,24/02/14,False,7175,480,450,289,110.0,20.0
2024,3,3,24/05/15,False,1941,122,126,80,21.9,
2024,6,3,24/08/14,False,1825,-76,-83,-69,-19.9,
2024,9,3,24/11/14,False,1944,189,208,145,39.4,
2024,12,12,24/02/14,True,7793,487,476,321,86.7,20.0
2024,12,12,24/08/14,True,7711,350,360,231,62.2,20
