year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2020,9,12,,False,112,,11,11,10.4,0
2021,9,12,,False,203,,-13,-14,-12.7,0
2022,9,12,,False,300,-87,-89,-89,-80.6,0
2023,9,12,,False,421,-147,-147,-147,-132.7,0
2023,12,3,,False,141,-10,-11,-11,-0.1,
2024,3,3,,False,144,-2,-3,-3,0.0,
2024,6,3,24/10/29,False,165,-11,-16,-16,-14.1,
2024,9,3,24/11/14,False,184,4,2,1,0.8,
2024,9,12,24/10/29,True,624,-52,-64,-65,-42.5,0
2024,9,12,24/11/14,False,634,-19,-28,-29,-23.7,0
2025,9,12,24/11/14,True,924,80,67,66,471.4,0
