year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2021,3,12,,False,4468,181,55,-164,-27.2,0
2022,3,12,,False,5638,200,139,13,2.2,0
2022,12,3,,False,1749,107,102,68,11.3,
2023,3,3,,False,1889,130,133,90,14.9,
2023,3,12,,False,6923,339,340,229,38.0,0
2023,6,3,23/08/10,False,1891,63,64,43,7.1,
2023,9,3,23/11/14,False,1938,100,99,72,11.4,
2023,12,3,24/02/14,False,2151,88,87,44,6.8,
2024,3,3,24/05/14,False,2380,158,154,69,10.6,
2024,3,12,24/05/14,False,8360,409,404,228,35.2,6.67
2024,6,3,24/08/09,False,2416,154,152,97,14.6,
2024,9,3,24/11/14,False,2590,149,149,116,17.4,
2025,3,12,24/11/25,True,9710,520,520,385,52.8,10
